name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"ARROYO LOS POZOS","UNION MINERA DEL NORTE, S.A. (UMINSA)",,,Villamanin,ES,1.074,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
PERERUELA,"CIENER, S.A.U.",,,Pereruela,ES,3.352,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"GOMEZ RODULFO","TURBINA DEL BATAN, S.L.",,,Bejar,ES,0.576,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
BAZKARDO,"ELECTRA BRAVO, S.L.",,,Andoain,ES,0.32,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"COLONIA FABREGAS","PUCUSA RIBAS, S.A.",,,Campelles,ES,0.33,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"EL COLLET","GEOGRAF, S.A.",,,"Guardiola de Bergueda",ES,0.35,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"POBLA DE LILLET","HILATURAS DEL BERGADA, S.A.",,,"Pobla de Lillet (La)",ES,0.204,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
BRANDIA,"ESTABANELL Y PAHISA, S.A.",,,"Sant Pau de Seguries",ES,0.5,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"LADRILLERIA ROSO","LADRILLERIA ROSO,S.A.",,,Illescas,ES,0.858,"Natural gas",,,2009,,,,,"Fossil fuels","Natural gas",,,,SEDE
"CERAMICA DE CHILOECHES","PALAU CERAMICA DE CHILOECHES, S.A.",,,Chiloeches,ES,0.96,"Natural gas",,,2000,,,,,"Fossil fuels","Natural gas",,,,SEDE
"CERAMICA DE LA ESTANCA","CERAMICA LA ESTANCA, S.A.",,,Calahorra,ES,0.636,"Natural gas",,,1996,,,,,"Fossil fuels","Natural gas",,,,SEDE
C´ANTIUS,"CANTIUS HIDROELECTRICA, S.L.",,,Callus,ES,0.3,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"LA RECORBA","EXPLOTACION AGRICOLA VENTOSILLA,S.A",,,"Villalba de Duero",ES,0.54,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"PAPELERA DEL ORIA","PAPELERA DEL ORIA, S.A.",,,Zizurkil,ES,5.3,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"GUEYU DE ZARAMBRAL","SALTO DE SAJAMBRE,S.A.",,,"Oseja de Sajambre",ES,0.39,Hydro,,,1987,,,,,"Renewable energy",Hydro,,,,SEDE
"C.H. BADIOLEGUI","CORRUGADOS AZPEITIA, S.L.",,,Azpeitia,ES,0.367,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"VIRGEN DE LAS VINAS",IDAE,,,"Aranda de Duero",ES,1.832,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"S.A. LA CERAMICA","LA CERAMICA, S.L.",,,Valladolid,ES,0.507,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
